0,CombatZoneResize,133,251,508,391,TLResume,,,
0,HeartTeleport,320,376,,,,,,
0,HeartMode,1,,,,,,,
0,TLPause,,,,,,,,
0,BoneVRepeat,128,355,30,0,120,20,50,
0,BoneVRepeat,513,257,100,2,120,10,76,
0,SET,Loop,7,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,RND,Ang,360,,,,,,
0,COS,X,$Ang,,,,,,
0,SIN,Y,$Ang,,,,,,
0,MUL,EndX,$X,200,,,,,
0,MUL,EndY,$Y,200,,,,,
0,MUL,X,$X,400,,,,,
0,MUL,Y,$Y,300,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,ADD,EndY,$EndY,$HeartY,,,,,
0,ADD,X,$X,$HeartX,,,,,
0,ADD,Y,$Y,$HeartY,,,,,
0,JMPNL,23,$EndX,50,,,,,
0,SET,EndX,50,,,,,,
0,JMPNG,25,$EndX,590,,,,,
0,SET,EndX,590,,,,,,
0,JMPNL,27,$EndY,40,,,,,
0,SET,EndY,40,,,,,,
0,JMPNG,29,$EndY,440,,,,,
0,SET,EndY,440,,,,,,
0,ANGLE,Ang,$EndX,$EndY,$HeartX,$HeartY,,,
0,GasterBlaster,0,$X,$Y,$EndX,$EndY,$Ang,0.46666,0.03333
1,JMPNZ,8,$Loop,,,,,,
0,EndAttack,,,,,,,,
